date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2018-01-02,Iraq,United Arab Emirates,0,0,Friendly,Kuwait City,Kuwait,TRUE
2018-01-02,Oman,Bahrain,1,0,Friendly,Kuwait City,Kuwait,TRUE
2018-01-05,Oman,United Arab Emirates,0,0,Friendly,Kuwait City,Kuwait,TRUE
2018-01-07,Estonia,Sweden,1,1,Friendly,Abu Dhabi,United Arab Emirates,TRUE
2018-01-11,Denmark,Sweden,0,1,Friendly,Abu Dhabi,United Arab Emirates,TRUE
2018-01-11,Indonesia,Iceland,0,6,Friendly,Sleman,Indonesia,FALSE
2018-01-11,Jordan,Finland,1,2,Friendly,Abu Dhabi,United Arab Emirates,TRUE
2018-01-13,Morocco,Mauritania,4,0,African Nations Championship,Casablanca,Morocco,FALSE
2018-01-14,Indonesia,Iceland,1,4,Friendly,Jakarta,Indonesia,FALSE
2018-01-14,Guinea,Sudan,1,2,African Nations Championship,Casablanca,Morocco,TRUE
2018-01-14,Ivory Coast,Namibia,0,1,African Nations Championship,Marrakech,Morocco,TRUE
2018-01-14,Zambia,Uganda,3,1,African Nations Championship,Marrakech,Morocco,TRUE
2018-01-15,Libya,Equatorial Guinea,3,0,African Nations Championship,Tangiers,Morocco,TRUE
2018-01-15,Nigeria,Rwanda,0,0,African Nations Championship,Tangiers,Morocco,TRUE
2018-01-16,Angola,Burkina Faso,0,0,African Nations Championship,Agadir,Morocco,TRUE
2018-01-16,Cameroon,Congo,0,1,African Nations Championship,Agadir,Morocco,TRUE
2018-01-17,Morocco,Guinea,3,1,African Nations Championship,Casablanca,Morocco,FALSE
2018-01-17,Sudan,Mauritania,1,0,African Nations Championship,Casablanca,Morocco,TRUE
2018-01-18,Ivory Coast,Zambia,0,2,African Nations Championship,Marrakech,Morocco,TRUE
2018-01-18,Uganda,Namibia,0,1,African Nations Championship,Marrakech,Morocco,TRUE
2018-01-19,Libya,Nigeria,0,1,African Nations Championship,Tangiers,Morocco,TRUE
2018-01-19,Rwanda,Equatorial Guinea,1,0,African Nations Championship,Tangiers,Morocco,TRUE
2018-01-20,Angola,Cameroon,1,0,African Nations Championship,Agadir,Morocco,TRUE
2018-01-20,Congo,Burkina Faso,2,0,African Nations Championship,Agadir,Morocco,TRUE
2018-01-21,Mauritania,Guinea,0,1,African Nations Championship,Marrakech,Morocco,TRUE
2018-01-21,Sudan,Morocco,0,0,African Nations Championship,Casablanca,Morocco,TRUE
2018-01-22,Namibia,Zambia,1,1,African Nations Championship,Casablanca,Morocco,TRUE
2018-01-22,Uganda,Ivory Coast,0,0,African Nations Championship,Marrakech,Morocco,TRUE
2018-01-23,Equatorial Guinea,Nigeria,1,3,African Nations Championship,Agadir,Morocco,TRUE
2018-01-23,Rwanda,Libya,0,1,African Nations Championship,Tangiers,Morocco,TRUE
2018-01-24,Burkina Faso,Cameroon,1,1,African Nations Championship,Tangiers,Morocco,TRUE
2018-01-24,Congo,Angola,0,0,African Nations Championship,Agadir,Morocco,TRUE
2018-01-27,Moldova,South Korea,0,1,Friendly,Antalya,Turkey,TRUE
2018-01-27,Morocco,Namibia,2,0,African Nations Championship,Casablanca,Morocco,FALSE
2018-01-27,Zambia,Sudan,0,1,African Nations Championship,Marrakech,Morocco,TRUE
2018-01-28,United States,Bosnia and Herzegovina,0,0,Friendly,Carson,United States,FALSE
2018-01-28,Congo,Libya,1,1,African Nations Championship,Agadir,Morocco,TRUE
2018-01-28,Nigeria,Angola,2,1,African Nations Championship,Tangiers,Morocco,TRUE
2018-01-28,Yorkshire,Ellan Vannin,1,1,Friendly,Fitzwilliam,England,FALSE
2018-01-30,Azerbaijan,Moldova,0,0,Friendly,Antalya,Turkey,TRUE
2018-01-30,Jamaica,South Korea,2,2,Friendly,Antalya,Turkey,TRUE
2018-01-31,Mexico,Bosnia and Herzegovina,1,0,Friendly,San Antonio,United States,TRUE
2018-01-31,Morocco,Libya,3,1,African Nations Championship,Casablanca,Morocco,FALSE
2018-01-31,Sudan,Nigeria,0,1,African Nations Championship,Marrakech,Morocco,TRUE
2018-02-03,Latvia,South Korea,0,1,Friendly,Antalya,Turkey,TRUE
2018-02-03,Libya,Sudan,1,1,African Nations Championship,Marrakech,Morocco,TRUE
2018-02-04,Morocco,Nigeria,4,0,African Nations Championship,Casablanca,Morocco,FALSE
2018-02-26,Saudi Arabia,Moldova,3,0,Friendly,Jeddah,Saudi Arabia,FALSE
2018-02-28,Iraq,Saudi Arabia,4,1,Friendly,Basra,Iraq,FALSE
2018-03-17,Iran,Sierra Leone,4,0,Friendly,Teheran,Iran,FALSE
2018-03-21,Andorra,Liechtenstein,1,0,Friendly,La Línea de la Concepción,Spain,TRUE
2018-03-21,Antigua and Barbuda,Bermuda,3,2,Friendly,St. John's,Antigua and Barbuda,FALSE
2018-03-21,Iraq,Qatar,2,3,Friendly,Basra,Iraq,FALSE
2018-03-21,Jordan,Kuwait,1,0,Friendly,Amman,Jordan,FALSE
2018-03-21,Laos,Cambodia,0,1,Friendly,Vientiane,Laos,FALSE
2018-03-21,Madagascar,Togo,0,0,Friendly,Saint-Leu-la-Forêt,France,TRUE
2018-03-21,South Africa,Angola,1,1,Friendly,Ndola,Zambia,TRUE
2018-03-21,Tahiti,New Caledonia,0,0,Friendly,Pirae,Tahiti,FALSE
2018-03-21,Zambia,Zimbabwe,2,2,Friendly,Ndola,Zambia,FALSE
2018-03-22,Algeria,Tanzania,4,1,Friendly,Algiers,Algeria,FALSE
2018-03-22,Bahrain,Palestine,0,0,Friendly,Riffa,Bahrain,FALSE
2018-03-22,Belize,Grenada,4,2,Friendly,Belmopan,Belize,FALSE
2018-03-22,Burkina Faso,Guinea-Bissau,2,0,Friendly,Limeil-Brévannes,France,TRUE
2018-03-22,China PR,Wales,0,6,Friendly,Nanning,China PR,FALSE
2018-03-22,Denmark,Panama,1,0,Friendly,Brøndby,Denmark,FALSE
2018-03-22,Dominican Republic,Turks and Caicos Islands,4,0,Friendly,Santo Domingo,Dominican Republic,FALSE
2018-03-22,Faroe Islands,Latvia,1,1,Friendly,San Pedro de Alcántara,Spain,TRUE
2018-03-22,Kyrgyzstan,Burma,5,1,AFC Asian Cup qualification,Incheon,South Korea,TRUE
2018-03-22,Macau,Mauritius,0,1,Friendly,Macau,Macau,FALSE
2018-03-22,Malaysia,Mongolia,2,2,Friendly,Kuala Lumpur,Malaysia,FALSE
2018-03-22,Malta,Luxembourg,0,1,Friendly,Attard,Malta,FALSE
2018-03-22,Nicaragua,Cuba,3,1,Friendly,Managua,Nicaragua,FALSE
2018-03-22,Philippines,Fiji,3,2,Friendly,Manila,Philippines,FALSE
2018-03-22,Slovakia,United Arab Emirates,2,1,Friendly,Bangkok,Thailand,TRUE
2018-03-22,Thailand,Gabon,0,0,Friendly,Bangkok,Thailand,FALSE
2018-03-23,Austria,Slovenia,3,0,Friendly,Klagenfurt,Austria,FALSE
2018-03-23,Azerbaijan,Belarus,0,1,Friendly,Baku,Azerbaijan,FALSE
2018-03-23,Bulgaria,Bosnia and Herzegovina,0,1,Friendly,Razgrad,Bulgaria,FALSE
2018-03-23,Curaçao,Bolivia,1,1,Friendly,Willemstad,Curaçao,FALSE
2018-03-23,Cyprus,Montenegro,0,0,Friendly,Nicosia,Cyprus,FALSE
2018-03-23,Finland,North Macedonia,0,0,Friendly,Belek,Turkey,TRUE
2018-03-23,France,Colombia,2,3,Friendly,Saint-Denis,France,FALSE
2018-03-23,Gambia,Central African Republic,1,1,Friendly,Bakau,Gambia,FALSE
2018-03-23,Germany,Spain,1,1,Friendly,Düsseldorf,Germany,FALSE
2018-03-23,Greece,Switzerland,0,1,Friendly,Athens,Greece,FALSE
2018-03-23,Guadeloupe,Trinidad and Tobago,0,1,Friendly,Les Abymes,Guadeloupe,FALSE
2018-03-23,Hungary,Kazakhstan,2,3,Friendly,Budapest,Hungary,FALSE
2018-03-23,Italy,Argentina,0,2,Friendly,Manchester,England,TRUE
2018-03-23,Japan,Mali,1,1,Friendly,Liège,Belgium,TRUE
2018-03-23,Mexico,Iceland,3,0,Friendly,Santa Clara,United States,TRUE
2018-03-23,Netherlands,England,0,1,Friendly,Amsterdam,Netherlands,FALSE
2018-03-23,Norway,Australia,4,1,Friendly,Oslo,Norway,FALSE
2018-03-23,Peru,Croatia,2,0,Friendly,Miami Gardens,United States,TRUE
2018-03-23,Poland,Nigeria,0,1,Friendly,Wrocław,Poland,FALSE
2018-03-23,Portugal,Egypt,2,1,Friendly,Zürich,Switzerland,TRUE
2018-03-23,Russia,Brazil,0,3,Friendly,Moscow,Russia,FALSE
2018-03-23,Scotland,Costa Rica,0,1,Friendly,Glasgow,Scotland,FALSE
2018-03-23,Senegal,Uzbekistan,1,1,Friendly,Casablanca,Morocco,TRUE
2018-03-23,Serbia,Morocco,1,2,Friendly,Turin,Italy,TRUE
2018-03-23,Singapore,Maldives,3,2,Friendly,Kallang,Singapore,FALSE
2018-03-23,Tunisia,Iran,1,0,Friendly,Radès,Tunisia,FALSE
2018-03-23,Turkey,Republic of Ireland,1,0,Friendly,Antalya,Turkey,FALSE
2018-03-23,Ukraine,Saudi Arabia,1,1,Friendly,Marbella,Spain,TRUE
2018-03-23,Uruguay,Czech Republic,2,0,Friendly,Nanning,China PR,TRUE
2018-03-24,Angola,Zimbabwe,2,2,Friendly,Ndola,Zambia,TRUE
2018-03-24,Armenia,Estonia,0,0,Friendly,Yerevan,Armenia,FALSE
2018-03-24,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,FALSE
2018-03-24,Canada,New Zealand,1,0,Friendly,San Pedro del Pinatar,Spain,TRUE
2018-03-24,Comoros,Kenya,2,2,Friendly,Marrakech,Morocco,TRUE
2018-03-24,Georgia,Lithuania,4,0,Friendly,Tbilisi,Georgia,FALSE
2018-03-24,Israel,Romania,1,2,Friendly,Netanya,Israel,FALSE
2018-03-24,Ivory Coast,Togo,2,2,Friendly,Beauvais,France,TRUE
2018-03-24,Kosovo,Madagascar,1,0,Friendly,Franconville,France,TRUE
2018-03-24,Mauritania,Guinea,2,0,Friendly,Nouakchott,Mauritania,FALSE
2018-03-24,Northern Ireland,South Korea,2,1,Friendly,Belfast,Northern Ireland,FALSE
2018-03-24,Qatar,Syria,2,2,Friendly,Basra,Iraq,TRUE
2018-03-24,Sweden,Chile,1,2,Friendly,Solna,Sweden,FALSE
2018-03-24,Tahiti,New Caledonia,4,3,Friendly,Pirae,Tahiti,FALSE
2018-03-24,Uganda,São Tomé and Príncipe,3,1,Friendly,Kampala,Uganda,FALSE
2018-03-24,Zambia,South Africa,0,2,Friendly,Ndola,Zambia,FALSE
2018-03-25,Barbados,Bermuda,0,0,Friendly,Bridgetown,Barbados,FALSE
2018-03-25,Dominican Republic,Saint Kitts and Nevis,2,1,Friendly,Santiago,Dominican Republic,FALSE
2018-03-25,Faroe Islands,Liechtenstein,3,0,Friendly,Marbella,Spain,TRUE
2018-03-25,Gibraltar,Latvia,1,0,Friendly,Gibraltar,Gibraltar,FALSE
2018-03-25,Jamaica,Antigua and Barbuda,1,1,Friendly,Kingston,Jamaica,FALSE
2018-03-25,Kuwait,Cameroon,1,3,Friendly,Kuwait City,Kuwait,FALSE
2018-03-25,Martinique,Trinidad and Tobago,0,0,Friendly,Fort-de-France,Martinique,FALSE
2018-03-25,Nicaragua,Cuba,3,3,Friendly,Managua,Nicaragua,FALSE
2018-03-25,Thailand,Slovakia,2,3,Friendly,Bangkok,Thailand,FALSE
2018-03-25,Yorkshire,Chagos Islands,6,0,Friendly,Fitzwilliam,England,FALSE
2018-03-26,Albania,Norway,0,1,Friendly,Elbasan,Albania,FALSE
2018-03-26,Bulgaria,Kazakhstan,2,1,Friendly,Felcsút,Hungary,TRUE
2018-03-26,China PR,Czech Republic,1,4,Friendly,Nanning,China PR,FALSE
2018-03-26,Curaçao,Bolivia,1,0,Friendly,Willemstad,Curaçao,FALSE
2018-03-26,Finland,Malta,5,0,Friendly,Belek,Turkey,TRUE
2018-03-26,Portugal,Netherlands,0,3,Friendly,Geneva,Switzerland,TRUE
2018-03-26,Wales,Uruguay,0,1,Friendly,Nanning,China PR,TRUE
2018-03-27,Afghanistan,Cambodia,2,1,AFC Asian Cup qualification,Dushanbe,Tajikistan,TRUE
2018-03-27,Algeria,Iran,1,2,Friendly,Graz,Austria,TRUE
2018-03-27,Armenia,Lithuania,0,1,Friendly,Yerevan,Armenia,FALSE
2018-03-27,Australia,Colombia,0,0,Friendly,London,England,TRUE
2018-03-27,Azerbaijan,North Macedonia,1,1,Friendly,Antalya,Turkey,TRUE
2018-03-27,Bahrain,Turkmenistan,4,0,AFC Asian Cup qualification,Riffa,Bahrain,FALSE
2018-03-27,Belgium,Saudi Arabia,4,0,Friendly,Brussels,Belgium,FALSE
2018-03-27,Bosnia and Herzegovina,Senegal,0,0,Friendly,Le Havre,France,TRUE
2018-03-27,Burma,Macau,1,0,AFC Asian Cup qualification,Rangoon,Burma,FALSE
2018-03-27,Central African Republic,Kenya,3,2,Friendly,Marrakech,Morocco,TRUE
2018-03-27,Denmark,Chile,0,0,Friendly,Aalborg,Denmark,FALSE
2018-03-27,England,Italy,1,1,Friendly,London,England,FALSE
2018-03-27,Georgia,Estonia,2,0,Friendly,Tbilisi,Georgia,FALSE
2018-03-27,Germany,Brazil,0,1,Friendly,Berlin,Germany,FALSE
2018-03-27,Greece,Egypt,1,0,Friendly,Zürich,Switzerland,TRUE
2018-03-27,Hungary,Scotland,0,1,Friendly,Budapest,Hungary,FALSE
2018-03-27,Iraq,Syria,1,1,Friendly,Basra,Iraq,FALSE
2018-03-27,Jordan,Vietnam,1,1,AFC Asian Cup qualification,Amman,Jordan,FALSE
2018-03-27,North Korea,Hong Kong,2,0,AFC Asian Cup qualification,P'yŏngyang,North Korea,FALSE
2018-03-27,Kosovo,Burkina Faso,2,0,Friendly,Franconville,France,TRUE
2018-03-27,Kyrgyzstan,India,2,1,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,FALSE
2018-03-27,Laos,Bangladesh,2,2,Friendly,Vientiane,Laos,FALSE
2018-03-27,Lebanon,Malaysia,2,1,AFC Asian Cup qualification,Beirut,Lebanon,FALSE
2018-03-27,Luxembourg,Austria,0,4,Friendly,Luxembourg,Luxembourg,FALSE
2018-03-27,Maldives,Bhutan,7,0,AFC Asian Cup qualification,Malé,Maldives,FALSE
2018-03-27,Mexico,Croatia,0,1,Friendly,Arlington,United States,TRUE
2018-03-27,Moldova,Ivory Coast,1,2,Friendly,Beauvais,France,TRUE
2018-03-27,Mongolia,Mauritius,0,2,Friendly,Ulan Bator,Mongolia,FALSE
2018-03-27,Montenegro,Turkey,2,2,Friendly,Podgorica,Montenegro,FALSE
2018-03-27,Morocco,Uzbekistan,2,0,Friendly,Casablanca,Morocco,FALSE
2018-03-27,Namibia,Lesotho,2,1,Friendly,Windhoek,Namibia,FALSE
2018-03-27,Oman,Palestine,1,0,AFC Asian Cup qualification,Muscat,Oman,FALSE
2018-03-27,Peru,Iceland,3,1,Friendly,Harrison,United States,TRUE
2018-03-27,Philippines,Tajikistan,2,1,AFC Asian Cup qualification,Manila,Philippines,FALSE
2018-03-27,Poland,South Korea,3,2,Friendly,Chorzów,Poland,FALSE
